test_season,model,class,bin_lower,bin_upper,n,mean_pred,obs_freq
2025-26,prior_season,full,0.3,0.4,1645,0.3518,0.3489
2025-26,prior_season,full,0.4,0.5,2201,0.4449,0.443
2025-26,prior_season,full,0.5,0.6,2165,0.5559,0.5058
2025-26,prior_season,full,0.6,0.7,1630,0.6516,0.6092
2025-26,prior_season,full,0.7,0.8,1178,0.7283,0.7037
2025-26,prior_season,full,0.8,0.9,0,,
2025-26,prior_season,full,0.9,1.0,0,,
2025-26,fpl_chance,unavailable,0.0,0.1,0,,
2025-26,fpl_chance,unavailable,0.1,0.2,0,,
2025-26,fpl_chance,unavailable,0.2,0.3,0,,
2025-26,fpl_chance,unavailable,0.3,0.4,0,,
2025-26,fpl_chance,unavailable,0.4,0.5,0,,
2025-26,fpl_chance,unavailable,0.5,0.6,29747,0.5893,0.6137
2025-26,fpl_chance,unavailable,0.6,0.7,0,,
2025-26,fpl_chance,unavailable,0.7,0.8,0,,
2025-26,fpl_chance,unavailable,0.8,0.9,0,,
2025-26,fpl_chance,unavailable,0.9,1.0,0,,
2025-26,fpl_chance,full,0.0,0.1,0,,
2025-26,fpl_chance,full,0.1,0.2,0,,
2025-26,fpl_chance,full,0.2,0.3,29747,0.2816,0.2626
2025-26,fpl_chance,full,0.3,0.4,0,,
2025-26,fpl_chance,full,0.4,0.5,0,,
2025-26,fpl_chance,full,0.5,0.6,0,,
2025-26,fpl_chance,full,0.6,0.7,0,,
2025-26,fpl_chance,full,0.7,0.8,0,,
2025-26,fpl_chance,full,0.8,0.9,0,,
2025-26,fpl_chance,full,0.9,1.0,0,,
2025-26,hierarchical,unavailable,0.0,0.1,4270,0.0611,0.0773
2025-26,hierarchical,unavailable,0.1,0.2,2738,0.1487,0.1581
2025-26,hierarchical,unavailable,0.2,0.3,1896,0.2468,0.2358
2025-26,hierarchical,unavailable,0.3,0.4,1531,0.3458,0.3475
2025-26,hierarchical,unavailable,0.4,0.5,1371,0.4488,0.3946
2025-26,hierarchical,unavailable,0.5,0.6,1173,0.5488,0.5013
2025-26,hierarchical,unavailable,0.6,0.7,1269,0.6496,0.6084
2025-26,hierarchical,unavailable,0.7,0.8,1189,0.7535,0.7023
2025-26,hierarchical,unavailable,0.8,0.9,2293,0.8607,0.8727
2025-26,hierarchical,unavailable,0.9,1.0,12017,0.9589,0.9799
2025-26,hierarchical,full,0.0,0.1,16438,0.0266,0.0248
2025-26,hierarchical,full,0.1,0.2,1720,0.1558,0.2023
2025-26,hierarchical,full,0.2,0.3,1407,0.2476,0.2822
2025-26,hierarchical,full,0.3,0.4,1410,0.3463,0.3645
2025-26,hierarchical,full,0.4,0.5,1249,0.4521,0.4468
2025-26,hierarchical,full,0.5,0.6,1215,0.5538,0.5383
2025-26,hierarchical,full,0.6,0.7,1273,0.6493,0.6033
2025-26,hierarchical,full,0.7,0.8,1552,0.7505,0.7332
2025-26,hierarchical,full,0.8,0.9,1880,0.8546,0.8399
2025-26,hierarchical,full,0.9,1.0,1603,0.9312,0.9039
